"Quotation article description";"Devis:Article description"
"Class name";"Nom Classe Sociale"
"Precarity";"Précarité"
"Global Cumac value";"Valeur Cumac global"
"Global Cumac value for classic";"Valeur Cumac global pour Classique"
"Global Cumac value for modest";"Valeur Cumac global pour Modeste"
"Cumac value for product";"Valeur Cumax pour le produit"
"Cumac for product";"Cumac pour le produit"
"Cumac for product Classic";"Cumac pour classique"
"Bonus precarity";"Bonus précarité"
"Cumac for product Classic";"Cumac pour le produit Classique"
"Cumac product Modest";"Cumac pour le produit Modeste"
"Energy name";"Nom de l'énergie"
"Quotation reference";"Devis:Référence"
"Quotation prime";"Devis:Prime"
"Quotation article mark";"Devis:Article Marque"
"Quotation article thermal resistance";"Devis:Article résistance thermique"
"Quotation article thickness";"Devis:Article épaisseur"
"Quotation article reference";"Devis:Article référence"
"Billing reference";"Facture:Référence"
"Billing date";"Facture:Date"
"Quotation date";"Devis:Date"
"Precarity modest %%";"Précarité modeste %%"
"Precarity very modest %%";"Précarité très modeste %%"
"Precarity modest";"Précarité modeste"
"Precarity very modest";"Précarité très modeste"
"Bonus precarity 2";"Bonus précarité 2"
"Parcel number";"Parcelle numéro"
"Payment of a premium in euros";"Versement d'une prime en euros"
"Quotation signature date";"Devis date de signature"
"Document signature date";"AH date de signature"
"Quotation one euro";"Devis 1 €"
"Quotation one euro prime";"Devis prime 1€"
"Billing one euro";"Facture 1 €"
"Billing one euro prime";"Facture prime 1€"
"Class/Energy/Zone";"Classe/Energie/Zone"
"Energy value";"Energie"
"Prime text";"Texte prime"
"Precarity classic [%s]";"Précarité classique [%s]"
"Sector name";"Nom de secteur"
"Class value";"Valeur Classe Sociale"
"rest in charge with tax";"Net à payer"
"total sale & added & fee without tax";"Total vente & prix supplémentaire & frais de dossier hors taxe"
"total sale & added & fee with tax";"Total TTC"
"total sale & added & fee tax";"Total TVA collectée"
"total sale & added & rest in charge & fee with tax";"Prime"
"total sale & added with tax";"Total vente & prix supplémentaire avec taxe"
"fee file tax";"Taxe frais de dossier"
"Unit sale Price";"Prix vente avec taxe"
"Unit Price";"Prix unitaire avec taxe"
"Total Product Item Price with tax";"Prix total TTC article"
"Total Product Item Price without tax";"Prix total HT article"
"Product Item Price with tax";"Prix TTC article"
"Product Item Price without tax";"Prix HT article"
"Total without tax";"Total HT"
"Tax %s";"Taxe %s"
"Quotation article detail";"Article:détails"
"Quotation article input2";"Article:Input2"
"Quotation article input1";"Article:Input1"
"Quotation article content";"Article:Contenu"
"Quotation article id";"Article:id"
"Cumac for product id";"ID Produit CUMAC"
"Quotation for product id";"ID Produit Devis"
"Quotation article input4";"Article:Input4"
"Quotation article input5";"Article:Input5"
"Quotation article input6";"Article:Input6"
"Quotation article input7";"Article:Input7"
