"Layer type";"Type de pose"
"Simulation models";"Modèle de simulation"
"Requests";"Demandes"
"Number of fiscal";"Nombre de foyer fiscal"
"Energy";"Energie"
"More 2 years";"Plus de 2 ans"
"Type layer";"Type de pose"
"Information";"Informations"
"Home information";"Informations Habitat"
"No surface exists.";"Aucune surface n'existe."
"Engine has some errors.";"Le calcul a des erreurs."
"New simulation";"Nouvelle simulation"
"No simulation";"Aucune simulation"
"Filter";"Afficher les filtres"
"Init";"Vider les filtres"
"Reference";"Référence"
"Created by";"Créé par"
"Created at";"Créé le"
"No surface";"Aucune surface"
"Cancel";"Annuler"
"Save";"Enregistrer"
"No request";"Aucune demande"
"Start date";"De" 
"End date";"A"
"State";"Rapport"
"Select/unselect all";"Dé/Sélectionner"
"Customer, Contract reference";"Client, Référence"
"Customer";"Client"
"Revenue";"Revenu"
"Number of people";"Nombre de personne"
"Number of fiscal people";"Foyer fiscal"
"Others";"Autres"
"Tax credit";"Crédit impôts"
"Classic class";"Classe classique"
"Sales limit";"Limite ventes"
"Models";"Modèles"
"Quotation model";"Modèle de devis"
"Quotation format";"Format référence du devis"
"Billing model";"Modèle de facture"
"Billing format";"Format de la référence de la facture"
"Asset model";"Modèle de l'avoir"
"Asser format";"Format de la référence de l'avoir"
"Simulation format";"Format de la référence de la simulation"
"Limits";"Limites"
"Quotation";"Devis"
"Shift for date";"Décalage de la date du devis"
"Billing";"Facture"
"Email model for customer":"Modèle d'email pour le client"
"Report";"Rapport"
"Install in progress status";"Rapport d'installation en cours"
"Multi document (AH/Quotation/Billing)";"Multi document (AH/Devis/Facture)"
"ISO Settings";"Configuration ISO"
"Settings have been saved.";"Les paramètres ont été enregistrés."
"Footer";"Bas de page"
"Header";"Entête"
"Contract";"Contrat"
"Tax credit used";"Crédit d'impôt utilisé"
"Install surface 101";"Surface 101 installateur"
"Install surface 102";"Surface 102 installateur"
"Install surface 103";"Surface 103 installateur"
"101 R1 Classic";"101 R1 Classique"
"102 R1 Classic";"102 R1 Classique"
"103 R1 Classic";"103 R1 Classique"
"101 102 R1 Classic";"101 102 R1 Classique"
"101 103 R1 Classic";"101 103 R1 Classique"
"102 103 R1 Classic";"102 103 R1 Classique"
"101 102 103 R1 Classic";"101 102 103 R1 Classique"
"101 R2 Classic";"101 R2 Classique"
"102 R2 Classic";"102 R2 Classique"
"103 R2 Classic";"103 R2 Classique"
"101 102 R2 Classic";"101 102 R2 Classique"
"101 103 R2 Classic";"101 103 R2 Classique"
"102 103 R2 Classic";"102 103 R2 Classique"
"101 102 103 R2 Classic";"101 102 103 R2 Classique"
"Fiscal information is missing.";"L'information fiscale est manquante."
"Number of children";"Nombre d'enfants"
"Occupation";"Type d'occupation habitat"
"Parcel surface";"Surface sur parcelle"
"Parcel reference";"Référence de la parcelle"
"Quotation engine";"Moteur des devis"
"Simulation engine";"Moteur des simulations"
"Transfert form to request";"Transfert des formulaires"
"Asset format";"Format des avoirs"
"Email model for customer";"Modèle Email pour le client"
"Transfer form => request (Meeting)";"Transfert formulaire => demandes (RDV)"
"Transfer form => request (Contract)";"Transfert formulaire => demandes (Contrat)"
"New quotation";"Nouveau devis"
"Total sales HT";"Total ventes HT"
"Total tax";"Total taxes"
"Total sales TTC";"Total ventes TTC"
"Credit limit";"Limite de crédit d'impôt"
"Rest in charge";"Reste à charge"
"Rest in charge after credit";"Reste à charge après crédit d'impôts"
"Signed";"Signé"
"Signed at";"Signé le"
"Tax credit available";"Crédit d'impots disponible"
"Declarants";"Déclarants"
"Type Layer";"Type de pose"
"New type layer";"Nouveau type de pose"
"Name";"Nom"
"Value";"Valeur"
"delete";"supprimer"
"View type layer";"Editer le type de pose"
"New occupation";"Nouvelle occupation"
"View occupation";"Editer l'occupation"
"No quotation";"Aucun devis"
"[Billings]";"[Factures]"
"[Quotations]";"[Devis]"
"[Results]";"[Résultats]"
"Product";"Produit"
"Products";"Produits"
"Accepted";"Accepté"
"Refused";"Refusé"
"Require validation";"Exiger la validation"
"Level";"Niveau"
"Coef. Polluter";"Coef. Pollueur"
"Polluter";"Pollueur"
"Settings price";"Prix de base"
"Qmac value";"Valeur de Qmac"
"View quotation";"Editer le devis"
"Quantity";"Quantité"
"Quotation has been updated";"Le devis a été mis à jour"
"Quotation has been created";"Le devis a été créé."
"Quotations";"Devis"
"Unit Sale Price HT";"Prix Vente Unitaire"
"Total Sale HT";"Total prix de vente HT"
"Total Sale TTC";"Total prix de vente TTC"
"Tax limit credit";"Crédit d'impôt maximum"
"Works amount";"Montant des travaux"
"Rest in charge after prime";"Reste à charge après la prime"
"Tax credit 30%%";"Crédit d'impôt 30%%"
"Default values";"Valeurs par défaut"
"No polluter exists.";"Aucun pollueur existe."
"Request";"Demande"
"Fixed prime";"Prime fixe"
"No polluter";"Aucun polleur"
"No surface";"Aucune surface"
"Fee file";"Frais de dossier"
"Tax fee file";"TVA frais de dossier"
"Total sales discount HT";"Total prix réduit HT"
"Total discount Tax";"Total taxe réduites"
"Total sale discount TTC";"Total prix réduit TTC"
"Multiple coefficients";"Coefficients multiples"
"Engine";"Moteur"
"Pre meeting";"Pré visite"
"Field [%s] has been updated.";"Le champs [%s] a été mis à jour."
"field_item_top";"article "
"field_item_wall";"article "
"field_item_floor";"article "
"field_energy_id";"énergie"
"field_occupation_id";"occupation"
"field_more_2_years";"plus de 2 ans"
