"My account";"Mon compte"
"My addresses";"Mes adresses"
"Privates";"Particuliers"
"The session has expired";"La session a expirée"
"Login";"Se connecter"
"Password";"Mot de passe"
"Remember me";"Se souvenir de moi"
"Title";"Titre"
"Phone";"Téléphone"
"Mobile";"Portable"
"Re password";"Re mot de passe"
"Firstname";"Prénom"
"Lastname";"Nom"
"Your mobile";Votre portable"
"Your firstname";"Votre prénom"
"Your lastname";"Votre nom"
"Your email";"Votre email"
"Enter again your password";"Resaisir le mot de passe"
"Add avatar";"Ajouter votre avatar"
"Max size for avatar %s.";"Taille maximum pour l'avatar %s."
"Customers";"Clients"
"Users";"Utilisateurs"
"Init";"Vider les filtres"
"Filter";"Afficher les filtres"
"[0]no result|[1]one result|(1,Inf]%s results";"[0]aucun résultat|[1]un résultat|(1,Inf]%s résultat"
"New user";"Nouvel utilisateur"
"Customer";"Client"
"Company";"Société"
"No company";"Aucune société"
"State";"Etat"
"Last login";"Dernier login"
"Last password";"Dernier mot de passe"
"Last update";"Dernière mise à jour"
"Created at";"Créé le"
"Status";"Statut"
"Edit";"Editer"
"Delete";"Supprimer"
"DELETE";"Supprimé"
"ACTIVE";"Actif"
"User";"Utilisateur"
"Save";"Enregistrer"
"Cancel";"Retour"
"Your password";"Votre mot de passe"
"Your phone";"Votre téléphone"
"View user";"Editer l'utilisateur"
"Updated at";"Mis à jour"
