"telepro";"téleprospecteur"
"sale_1";"commercial 1"
"sale_2";"commercial 2"
"manager";"Responsable commercial"
"Contract Status";"Rapport des Contracts"
"add icon";"Ajouter une icône"
"add picture";"Ajouter une image"
"amount";"Montant"
"Attributions have been updated.";"Les attributions ont été sauvegardées"
"cancel";"Annuler"
"change";"Changer"
"change icon";"Changer l'icône"
"city";"ville"
"color";"couleur"
"Columns";"Colonnes"
"Contracts";"Clients"
"Contract has already contributors.";"Le client a déjà des contributeurs."
"Contract has been saved.";"Le client a été sauvegardé."
"Contract is invalid.";"Le client est invalide."
"contributor";"contributeur"
"Contributors created.";"Les contributeurs sont créés"
"customer";"client"
"Customer contracts";"Clients"
"Customer contract";"Clients"
"customer contract status";"Etat du client"
"delete";"supprimer"
"Delete";"Supprimer"
"edit";"éditer"
"Email doesn't exist, you have to complete it.";"L'email n'existe pas, vous devez la créer."
"Empty";"Vide"
"Error Syntax in model.";"Erreur de syntaxe dans le modèle"
"export";"exporter"
"Export";"Exporter"
"Export Kml";"Exporter le KML"
"Export KML";"Exporter le KML"
"export kml";"exporter le KML"
"File has been imported.";"Le fichier a été importé."
"Filter";"Afficher"
"Filter has some errors.";"Le filtre a des erreurs."
"Form has some errors.";"Le formulaire a des erreurs."
"Generate coordinates";"Générer les coordonnées"
"icon";"icône"
"Icon will be deleted. Confirm ?";"L'icône va être supprimée. Confirmez vous ?"
"import";"importer"
"Init";"Vider les filtres"
"language";"langue"
"language is not valid.";"la langue n'est pas valide"
"Meeting has been created.";"Le rendez vous a été créé."
"Mobile doesn't exist, you have to complete it.";"Le numéro de portable n'existe pas, vous devez le créer."
"Model is invalid.";"Le modèle est invalide"
"name";"nom"
"new";"nouveau"
"New";"Nouveau"
"New contract";"Nouveau client"
"New email";"Nouvel email"
"New SMS";"Nouveau SMS"
"new status";"nouveau rapport"
"New status";"Nouveau rapport"
"No Contract";"Aucun client"
"No contract";"Aucun client"
"No status";"Aucun rapport"
"one result";"un résultat"
"order_asc";"tri ascendant"
"order_desc";"tri descendant"
"phone";"téléphone"
"postcode";"code postal"
"Product";"Produit"
"Product Documents";"Documents des produits"
"Product has been created.";"Le produit a été créé."
"Product has been deleted.";"Le produit a été supprimé."
"products";"Produit"
"Products transferred.";"Les produits transférés."
"results";"Résultats"
"Sale1";"Commercial 1"
"Sale2";"Commercial 2"
"save";"Enregistrer"
"Select/unselect all";"Sélectionner/Déselectionner"
"Send Email";"Envoyer un email"
"Send SMS";"Envoyer un SMS"
"Settings have been saved.";"Les paramètres ont été enregistrés."
"State";"Rapport"
"Status";"Etat"
"status already exists";"le rapport existe déjà"
"Status has been deleted.";"Le rapport a été supprimé."
"status has been saved.";"Le rapport a été sauvegardé."
"Team";"Equipe"
"Telepro";"Télépro"
"telepro";"télépro"
"thanks to select a site";"Merci de sélectionner un site"
"Turnover";"Chiffre d'affaires"
"upload";"Téléchargement"
"value";"valeur"
"View status";"Editer le rapport"
"[0]no result|[1]one result|(1,Inf]%s results";"[0]aucun résultat|[1]un résultat|(1,Inf]%s résultats"
"Save";"Enregistrer"
"Contract date";"Date du contrat"
"Amount with taxes";"Montant TTC"
"Amount without taxes";"Montant HT"
"Financial partner";"Partenaire Financier"
"OPC sending date";"Date d'envoi OPC"
"Payment date";"Date de paiement"
"Reference";"Référence"
"Contract";"Contrat"
"Customer";"Client"
"Products";"Produits"
"Model [%s] has been loaded.";"Le modèle [%s] a été chargé."
"Send";"Envoyer"
"No model";"Aucun modèle"
"Partners";"Partenaires"
"from";"de"
"to";"à"
"No team affected.";"Aucune équipe affectée."
"No user affected.";"Aucun utilisateur affecté."
"Modify";"Modifier"
"New product";"Nouveau produit"
"Edit";"Editer"
"Detail";"Détail"
"ACTIVE";"Actif"
"DELETE";"Supprimé"
"Not defined";"Aucun"
"Status by default";"Rapport par défaut"
"Attribution by default";"Attribution par défaut"
"Product has been saved.";"Le produit a été enregistré"
"Sold products";"Produits vendus"
"View product";"Editer le produit"
"Product ""#0#"" will be deleted. Confirm ?";"Le produit ""#0#"" va être supprimé. Confirmez vous ?"
"Contract ""#0#"" will be recycled. Confirm ?";"Le client ""#0#"" va être recyclé. Confirmez vous ?"
"Contract ""#0#"" will be deleted. Confirm ?";"Le client ""#0#"" va être supprimé. Confirmez vous ?"
"New email for ";"Nouvel Email pour "
"Tax amount display";"Affichage du montant de la taxe"
"Tax";"TVA"
"Amount taxe";"Montant TVA"
"Status ""#0#"" will be deleted. Confirm ?";"Rapport ""#0#"" va être supprimé. Confirmez vous ?"
"Status has been saved.";"Le rapport a été enregistré."
"Status already exists";"Le rapport existe déjà"
"Customer contracts";"Contrat Clients"
"customers";"clients"
"contracts";"contrats"
"LASTNAME";"NOM"
"FIRSTNAME";"PRENOM"
"PHONE";"TELEPHONE"
"MOBILE";"MOBILE"
"PRODUCTS";"PRODUITS"
"ADDRESS";"ADRESSE"
