"week";"semaine"
"[0]no meeting|[1]one meeting|(1,Inf]%s meetings";"[0]aucun rendez vous|[1]un rendez vous|(1,Inf]%s rendez vous"
"Comment on creation";"Commentaire à la création"
"Mobile 1 required";"Mobile 1 obligatoire"
"Callback";"Rappel"
"Confirmator";"Confirmateur"
"Confirmed date";"Date de confirmation"
"Call status";"Rapport call center"
"Lead status";"Rapport de fiche"
"Remove meetings";"Supprimer les RDVs"
"Multi - polluters";"Multi-pollueurs"
"Others";"Autres"
"Default number of items by filter page";"Nombre de RDVs par défaut pour la liste des RDVs"
