"meeting.created_at.ddmmyyyy";"Date de création (jj/mm/aaaa)"
"meeting.created_at.ddmmyy";"Date de création (jj/mm/aa)"
"meeting.created_at.ddmmmmyyyy";"Date de création (jj/mmmm/aaaa)"
"meeting.customer";"Client"
"meeting.customer.lastname";"Nom du client"
"meeting.creator";"Créateur"
"meeting.customer.address";"Adresse"
"meeting.treated_at";"Traité le"
"meeting.confirmed_at";"Confirmé le"
"meeting.telepro";"Téléprospecteur"
"meeting.assistant";"Assistant"
"meeting.remarks";"Remarques"
"meeting.campaign";"Campagnes"
"meeting.state";"Rapport"
"meeting.sale1";"Commercial 1"
"meeting.sale2";"Commercial 2"
"meeting.in_at.ddmmyyyy";"RDV Date"
"meeting.in_at.hhmm";"RDV Heure"
"meeting.in_at.ddmmyyyyhhmm";"RDV Date/Heure"
"meeting.callcenter";"Callcenter"
"meeting.is_qualified";"Qualifié"
"meeting.is_confirmed";"Confirmé"
"meeting.products";"Produits"
"meeting.status";"Status"
"meeting.customer.mobile";"Portable"
"meeting.customer.phone";"Téléphone"
"meeting.customer.address.city";"Ville"
"meeting.customer.address.postcode";"Code postal"
"meeting.id";"RDV id"
"meeting.customer.mobile2";"Portable2"
"meeting.turnover";"Prix"
"meeting.customer.firstname";"Prénom"
"meeting.customer.address.address2";"Adresse2"
"meeting.polluter.name";"Pollueur"
"meeting.customer.email";"Email"
"meeting.callback_at.ddmmyyyy";"Date de rappel (jj/mm/aaaa)"
"meeting.callback_at.hhmm";"Heure de rappel"
"meeting.callback_at.ddmmyyyyhhmm";"Date de rappel (jj/mm/aaaa hh:mm)"
"meeting.company.name";"Société"
