"lastname";"nom"
"firstname";"prénom"
"phone";"téléphone"
"address";"adresse"
"campaign";"campagne"
"state";"rapport"
"callback";"rappel"
"postcode";"code postal"
"city";"ville"
"callstatus";"rapport callcenter"
"sale1";"commercial1"
"sale2";"commercial2"
"date_rdv";"date rdv"
"time_rdv";"heure rdv"
"date_time_rdv";"date/heure rdv"
"remarks";"remarques"
"products";"produits"
"created_at";"date/heure création"
"date_created_at";"date création"
"time_created_at";"heure création"
"turnover";"prix"
"address2";"address2"
"surface_wall";"surface mur"
"surface_floor";"surface sol"
"surface_top";"surface combles"
"revenue";"revenu"
"number_of_people";"nombre de personnes"
"parcel_surface";"surface de la parcelle"
"parcel_reference";"référence de la parcelle"
"install_surface_wall";"surface mur d'installateur"
"install_surface_top";"surface combles d'installateur"
"install_surface_floor";"surface sol d'installateur"
"tax_credit_used";"crédit impôt utilisé"
"number_of_fiscal";"nombre de foyer fiscal"
"number_of_children";"nombre d'enfants"
"declarants";"déclarants"
"company";"Société"
