"lastname";"nom"
"firstname";"prénom"
"phone";"téléphone"
"address";"adresse"
"campaign";"campagne"
"state";"rapport"
"callback";"rappel"
"postcode";"code postal"
"city";"ville"
"callstatus";"rapport callcenter"
"sale1";"commercial1"
"sale2";"commercial2"
"date_rdv";"date rdv"
"time_rdv";"heure rdv"
"date_time_rdv";"date/heure rdv"
"remarks";"remarques"
"products";"produits"
"created_at";"date/heure création"
"date_created_at";"date création"
"time_created_at";"heure création"
"products";"produits"
"turnover";"prix"
"address2";"address2"
