"lastname";"nom"
"firstname";"prénom"
"phone";"téléphone"
"address";"adresse"
"postcode";"code postal"
"city";"ville"
"created_at";"date/heure création"
"country";"pays"
"number_of_people";"nombre de personnes"
"owner";"propriétaire"
"energy";"énergie"
"created_at";"créé à"
"income";"le revenu"
"tenant";"locataire"
"owner";"propriétaire"
"Tenant";"Locataire"
"Owner";"Propriétaire"
"non_occupant_owner";"Propriétaire non occupant"
"electricity";"électricité"
"combustible";"combustible"
"Electricity";"Electricité"
"Combustible";"Combustible"
