"module [%s] is uninstalled.";"Le module [%s] est désinstallé."
"Build";"Constuire la liste des modules"
"Update";"Mise à jour des modules"
"module manager";"Administration des modules"
"module [%s] is installed.";"Le module [%s] est installé."
"active";"actif"
"available";"disponible"
"name";"nom"
"filter";"afficher"
"init";"vider les filtres"
"Update sites";"Mise à jour des sites"
"build";"Construire"
"update";"mettre à jour"
"modules structure has been built.";"la structure des modules a été construite"
"loaded";"chargé"
