"Cancel";"Annuler"
"New model";"Nouveau modèle"
"Filter";"Afficher les filtres"
"Init";"Vider les filtres"
"Value";"Valeur"
"Text";"Texte"
"No model";"Aucun modèle"
"Models for polluter";"Modèles pour les pollueurs"
"New text";"Nouveau texte"
"Content";"Contenu"
"Save";"Enregistrer"
"View text";"Editer le texte"
"Model ""#0#"" will be deleted. Confirm ?";"Le modèle ""#0#"" va être supprimé. Confirmez vous ?"
"Text has been updated.";"Le texte a été mis à jour."
"New PDF model";"Nouveau modèle PDF"
"Models for polluter [%s]";"Modèles pour  polleur [%s]"
"PDF model is invalid.";"Le modèle PDF est invalide."
"Not supported.";"Non supporté"
"Model has been saved.";"Le modèle a été enregistré."
"New model for polluter [%s]";"Nouveau modèle pour le pollueur [%s]"
"No document";"Aucun document"
"Documents for polluter [%s]";"Les documents pour le pollueur [%s]"
"Filter has some errors.";"Le filtre comporte des erreurs."
"Name";"Nom"
"Model";"Modèle"
"View PDF model for polluter [%s]";"Editer le modèle PDF pour le pollueur [%s]"
"Model for document has been saved.";"Le modèle pour document a été enregistré."
"Initiator signature";"Signature de l'initateur"
"New PDF model for polluter [%s]";"Nouveau modèle PDF pour le pollueur [%s]"
"Comments";"Commentaires"
"Max size for file %s.";"Taille maximum pour le fichier %s"
"Model has been deleted.";"Le modèle a été supprimé."
"Import PDF models archive";"Importer les modèles PDF"
"Import PDF model archive for polluter [%s]";"Importer l'archive des modèles PDF pour le pollueur [%s]"
"View model for polluter [%s]";"Editer le modèle pour le pollueur [%s]"
"Document [%s] for polluter [%s]";"Document [%s] pour le pollueur [%s]"
"Export PDF models archive";"Exporter les modèles PDF"
"Used";"Utilisé"
"Not used";"Non utilisé"
"Import Polluter";"Importer un pollueur"
"Export Extended PDF models archive";"Exporter l'archive des modèles PDF étendus"
"%s Models has been imported.";"%s modèles ont été importés."
"%s Documents has been imported. [%s]";"%s documents ont été importés. [%s]"
"work";"travail"
"contract";"contrat"
