"Items";"Articles"
"Filter";"Afficher les filtres"
"Init";"Vider les filtres"
"Cancel";"Annuler"
"New item";"Nouvel article"
"Title";"Titre"
"Purchasing price";"Prix d'achat"
"Sale price";"Prix Vente"
"State";"Etat"
"Edit";"Editer"
"Delete";"Supprimer"
"Reference";"Référence"
"Input1";"Texte 1"
"Input2";"Texte 2"
"Sale Price";"Prix de vente"
"Tax";"Taxe"
"Content";"Contenu"
"Details";"Détails"
"active_YES";"Actif"
"active_NO";"Non actif"
"View item [%s] for product [%s]";"Editer l'article [%s] pour le produit [%s]"
"Items for product [%s]";"Articles pour le produit [%s]"
"New item for product [%s]";"Nouvel article pour le produit [%s]"
"Save";"Enregistrer"
"Product item [%s] has been created.";"L'article [%s] a été créé."
"Product item [%s] has been saved.";"L'article [%s] a été enregistré."
"Reference for document";"Référence pour document"
"Reference for display";"Référence pour affichage"
"Hours";"Heures"
"Unit";"Unité"
"hours";"heures"
"square_meter";"m²"
"Mandatory ?";"Obligatoire?"
"Mark";"Marque"
"Items settings";"Configuration des articles"
"Settings have been saved.";"Les paramètres ont été enregistrés"
"Sale price in TTC";"Prix de vente en TTC"
"Sale price TTC";"Prix de vente TTC"
"Sale price HT";"Prix de vente HT"
"Price format";"Format du prix"
"Items list";"Articles"
"Thermal resistance";"Résistance thermique"
"DELETE";"Supprimé"
"ACTIVE";"Actif"
"Active ?";"Actif ?"
"Update price item from product";"Mise à jour des prix des articles à partir des produits"
"Multiple update";"Mise à jour multiple"
"[0] no selected element|[1]one selected element|(1,Inf]%s selected elements";"[0] aucun elément sélectionné|[1]un élément sélectionné|(1,Inf]%s éléments sélectionnés"
"Process";"Mettre à jour"
"Parameters";"Paramètres"
"Product item already exists";"L'article existe déjà."
"Discount Price";"Prix réduit"
"Update discount price item from product";"Mise à jour des prix réduits des articles à partir des produits"
"Item discount price has been updated as product.";"Les prix réduits ont été mis à jour à partir produits"
"Item price has been updated as product.";"Les prix ont été mis à jour à partir produits"
"Items have been updated.";"Les articles ont été mis à jour."
"View items for item [%s]";"Edition des artciles liés pour l'article [%s]"
"Default ?";"Par défaut ?"
"Default has been changed.";"Défaut a été changé."
"YES";"OUI"
"yes";"oui"
"NO";"NON"
"no";"non"
"Import items";"Importation d'articles"
"Import";"Importer"
"Download model";"Télécharger le modèle"
"%s items have been created.";"%s articles ont été créés."
"%s items have been updated.";"%s articles ont été mis à jour."
"File has been imported.";"Le fichier a été importé."
"Product";"Produit"
