"actions";"أفعال "
"cancel";"الغاء "
"change";"تغير "
"code";"دليل "
"country";"بلد "
"delete";"حذف "
"disable";"معطل "
"edit";"تعديل "
"enable";"شغال "
"filter";"تصفية "
"id";"اتباث الهوية "
"init";"أولي "
"language";"لغات "
"language position";"موضع اللغات "
"Languages :\u000A\u000A\"#0#\"\u000A\u000A will be deleted. Confirm ?";"لغات اريد حذفها اتبث لي ذلك "
"name";"اسم "
"no";"لا "
"NO";"لا "
"no result";"دون نتيجة "
"one result";"نتيجة واحدة "
"order_asc";"ترتيب تصاعدي "
"order_desc";"ترتيب عكسي "
"position";"موضع "
"position is updated.";"تحديث الموضع "
"results";"نتائج "
"save";"حفظ "
"select";"اختار "
"state";"ولاية "
"value";"قيمة "
"yes";"نعم "
"YES";"نعم "
