"Your new password";"Votre nouveau mot de passe"
"Site";"site"
"Username";"Nom d'utilisateur"
"Password";"Mot de passe"
"Username/Email";"Nom d'utilisateur/mot de passe"
"Forms has some errors.";"Le formulaire comporte des erreurs."
"Re-password";"Resaisir le mot de passe"
"password and repassword must be equal.";"les 2 mots de passe doivent être identiques."
"Password for [%s] has been created.";"Le mot de passe pour [%s] a été créé."
"Not defined";"Non défini"
"Access to your administration";
"add group";"ajouter un groupe"
"add permission";"ajouter une permission"
"add picture";"ajouter une image"
"all permissions";"toutes les permissions"
"Attribution already exists";"L'attribution existe déjà."
"Attribution has been deleted.";"L'attribution a été effacée."
"Attribution has been saved.";"L'attribution a été enregistrée."
"cancel";"annuler"
"change";"changer"
"change picture";"changer l'image"
"date creation";"date de création"
"delete";"supprimer"
"Delete";"supprimer"
"disable";"déactiver"
"edit";"editer"
"Edit user";"Edition de l'utilisateur"
"Employees";"Utilisateurs"
"enable";"activer"
"export CSV";"exporter CSV"
"export PDF";"exporter PDF"
"export XLS";"exporter XLS"
"File has been imported.";"Le fichier a été importé."
"Filter";"Afficher"
"firstname";"prénom"
"Functions";"Fonctions"
"Form has some errors.";"Le formulaire comporte des erreurs,"
"form has some errors.";"Le formulaire comporte des erreurs,"
"function";"fonction"
"Function already exists";"La fonction existe déjà."
"Function has been deleted.";"La fonction a été supprimée."
"Function has been saved.";"La fonction a été enregistrée."
"Functions have been saved.";"Les fonctions ont été enregistrées."
"group";"groupe"
"groups";"groupes"
"Groups :\u000A\u000A\""#0#\""\u000A\u000A will be deleted. Confirm ?";"Les groupes :\u000A\u000A\""#0#\""\u000A\u000A vont être supprimés. Confirmer vous ?"
"hello";"bonjour"
"import";"importer"
"Init";"Vider les filtres"
"language";"langue"
"language is not valid.";"la langue est invalide."
"last login";"dernière connexion"
"last password generated";"dernier mot de passe généré"
"last password generation";"génération de dernier mot de passe"
"lastname";"nom"
"my picture";"mon image"
"My profile";"Mon profil"
"name";"nom"
"new";"nouveau"
"New attribution";"Nouvelle attribution"
"new function";"nouvelle fonction"
"New function";"nouvelle fonction"
"New Password";"Nouveau mot de passe"
"new password";"Nouveau mot de passe"
"new product";"nouveau produits"
"new team";"nouvelle équipe"
"New team";"nouvelle équipe"
"New user";"nouvel utilisateur"
"new user";"nouvel utilisateur"
"no";"non"
"No attribution";"aucune attribution"
"No function";"aucune fonction"
"no result";"aucun résultat"
"No team";"aucune équipe"
"one result";"un résultat"
"order_asc";"tri ascendant"
"order_desc";"tri descendant"
"Password";"Mot de passe"
"Permissions :\u000A\u000A\""#0#\""\u000A\u000A will be deleted. Confirm ?";"Les permissions :\u000A\u000A\""#0#\""\u000A\u000A vont être supprimées. Confirmez vous ?"
"picture";"image"
"picture  will be deleted. Confirm ?";"l'image va être supprimée. Confirmez vous ?"
"position";"fonction"
"regenerate password";"regénérer le mot de passe"
"results";"résultats"
"save";"enregistrer"
"selection";"sélection"
"state";"état"
"Team has been created.";"L'équipe a été crée."
"Team has been deleted.";"L'équipe a été supprimée."
"Team has been updated.";"L'équipe a été mise à jour."
"Team is already exist.";"L'équipe existe déjà."
"Teams";"Equipes"
"thanks to select a site";"merci de sélectionner un site"
"this user doesn't exist";"Cet utilisateur n'existe pas"
"title";"titre"
"updated at";"mise à jour le"
"upload";"télécharger"
"user";"utilisateur"
"User already exists";"L'utilisateur existe déjà."
"user already exists";"L'utilisateur existe déjà."
"User already exists";"L'utilisateur existe déjà."
"User already exists.";"L'utilisateur existe déjà."
"User attribution";"Attributions de l'utilisateur"
