"[0] no result |[1] one result |(1,Inf] %s results";"[0] aucun résultat |[1] un résultat |(1,Inf] %s résultats"
"YES";"oui"
"NO";"non"
"new password";"nouveau mot de passe"
"Create password for user [%s]";"Création du mot de passe pour l'utilisateur [%s]"
"Duplicates have been removed.";"Les doublons ont été supprimés."
"Remove Users";"Supprimer les utilisateurs"
"Activity";"Activité"
"Activity Time before stop";"Temps d'activité avant arrêt"
"Remaining time";"Temps avant arrêt"
"Callcenters";"Centre d'appels"
"Callcenter";"Centre d'appel"
"Seconds";"Secondes"
"User %s (%s) has been saved";"L'utilisateur %s (%s) a été enregistré"
"Edit user";"Editer l'utilisateur"
"Successful authentifaction on superadmin application";"Authentification réussie sur l'application superadmin"
"Server";"Serveur"
"Company";"Société"
"code by email";"code par email"
