"Username";"Nom utilisateur"
"Password";"Mot de passe"
"login";"Authentification"
"The username and/or password is invalid.";"Le nom utilisateur et/ou le mot de passe sont invalides"
"This field is required.";"Ce champ est requis."
"Remember me";"Se souvenir de moi"
"connexion statistics";"statistiques des connexions"
"users-sessions";"utilisateurs-sessions"
"USERNAME";"Pseudo"
"START";"Début"
"END";"Fin"
"No date";"Aucune date"
"Start time";"Heure début"
"Last time";"Dernière connexion"
"Export";"Exporter"
"Sessions";"Connexions"
"File";"Fichier"
"Import group";"Importer un groupe"
"Max size for file %s.";"Taille maximum pour le fichier est %s."
"Group [%s] has been imported.";"Le groupe [%s] a été importé."
"Group ""#0#"" will be deleted. Confirm ?";"Le groupe ""#0#"" va être supprimé. Confirmez vous ?"
"Re affect group %s";"Réaffecter le groupe %s"
"Group %s has been reaffect to group %s (%s users impacted).";"Groupe %s a été affecté au groupe %s (%s utilisateurs impactés)."
"Authentification validation";"Validation de l'authentification"
"Send";"Envoyer"
